,OpenTime,ETC-USD_Open,ETC-USD_High,ETC-USD_Low,ETC-USD_Close,ETC-USD_volume,CloseTime,ETC-QuoteAssetVolume,ETC-NumberOfTrades,ETC-TBBAV,ETC-TBQAV,ETC-ignore
0,2018-06-12 07:30:00,16.2,16.3,15.36,15.53,22867.56,2018-06-12 08:29:59.999,358743.744205,588.0,12839.89,201337.230515,0.0
1,2018-06-12 08:30:00,15.5288,16.7999,15.0386,15.23,48398.68,2018-06-12 09:29:59.999,745584.483023,1200.0,24953.74,385724.132875,0.0
2,2018-06-12 09:30:00,15.23,15.7515,15.2,15.6002,31377.59,2018-06-12 10:29:59.999,486568.937543,905.0,19199.57,298268.032997,0.0
3,2018-06-12 10:30:00,15.6002,16.3,15.6002,16.1502,50812.82,2018-06-12 11:29:59.999,815339.86586,1945.0,22867.73,365976.032258,0.0
4,2018-06-12 11:30:00,16.2498,16.3,15.5068,15.6833,48870.17,2018-06-12 12:29:59.999,783085.638176,1993.0,11378.41,181432.48541,0.0
5,2018-06-12 12:30:00,15.7173,15.9173,15.3917,15.6582,28034.59,2018-06-12 13:29:59.999,438494.762824,874.0,8598.47,134735.710538,0.0
6,2018-06-12 13:30:00,15.6851,15.79,15.5479,15.7721,19387.04,2018-06-12 14:29:59.999,304144.397908,592.0,10570.72,165996.134902,0.0
7,2018-06-12 14:30:00,15.7553,15.7798,15.4799,15.6714,30009.51,2018-06-12 15:29:59.999,470758.860211,756.0,12307.64,193093.108831,0.0
8,2018-06-12 15:30:00,15.6713,15.71,15.4802,15.53,13395.17,2018-06-12 16:29:59.999,208712.794194,422.0,5278.99,82306.929169,0.0
9,2018-06-12 16:30:00,15.529,15.57,15.2816,15.4,27658.44,2018-06-12 17:29:59.999,425786.804816,975.0,14659.35,225911.216974,0.0
10,2018-06-12 17:30:00,15.401,15.401,14.6002,14.7497,42850.42,2018-06-12 18:29:59.999,646138.61267,1478.0,26075.37,394145.824699,0.0
11,2018-06-12 18:30:00,14.712,15.4197,14.5678,14.9494,40570.31,2018-06-12 19:29:59.999,605150.758259,1434.0,25175.99,375668.133854,0.0
12,2018-06-12 19:30:00,14.9494,15.4197,14.8863,15.3007,29165.32,2018-06-12 20:29:59.999,443649.747497,1189.0,20713.39,314850.25301,0.0
13,2018-06-12 20:30:00,15.2987,15.4692,15.1124,15.4689,25979.21,2018-06-12 21:29:59.999,397211.307004,838.0,12306.79,188296.870847,0.0
14,2018-06-12 21:30:00,15.4689,15.5,14.8402,15.0494,28425.66,2018-06-12 22:29:59.999,430318.803434,1023.0,13314.56,201770.865173,0.0
15,2018-06-12 22:30:00,15.0502,15.2486,15.0229,15.1001,17811.8,2018-06-12 23:29:59.999,269900.260087,654.0,11189.69,169625.264455,0.0
16,2018-06-12 23:30:00,15.12,15.1899,14.8088,14.8493,27717.98,2018-06-13 00:29:59.999,416658.506908,977.0,16052.26,241701.652095,0.0
17,2018-06-13 00:30:00,14.8487,14.8951,13.95,14.54,73109.0,2018-06-13 01:29:59.999,1057750.236859,2457.0,38007.2,549724.71099,0.0
18,2018-06-13 01:30:00,14.54,14.8799,14.3503,14.5497,52072.96,2018-06-13 02:29:59.999,762992.245943,1412.0,23103.38,338343.200166,0.0
19,2018-06-13 02:30:00,14.5389,14.7,14.3336,14.656,31679.69,2018-06-13 03:29:59.999,459269.776828,768.0,15603.55,226299.028173,0.0
20,2018-06-13 03:30:00,14.6559,14.7,14.4704,14.6,22723.74,2018-06-13 04:29:59.999,331987.690968,625.0,8417.19,123009.038916,0.0
21,2018-06-13 04:30:00,14.59,14.7607,14.1801,14.6282,32050.92,2018-06-13 05:29:59.999,463012.239618,1180.0,16301.32,235538.854019,0.0
22,2018-06-13 05:30:00,14.7,14.9731,14.6,14.75,29094.12,2018-06-13 06:29:59.999,430792.020903,1069.0,16852.49,249801.145066,0.0
23,2018-06-13 06:30:00,14.7597,14.76,14.416,14.5,23359.44,2018-06-13 07:29:59.999,339827.076372,583.0,12638.24,183758.762276,0.0
24,2018-06-13 07:30:00,14.4894,14.8189,14.4656,14.63,30937.75,2018-06-13 08:29:59.999,453237.594546,711.0,10801.74,158231.611516,0.0
25,2018-06-13 08:30:00,14.63,14.6301,14.43,14.49,24707.56,2018-06-13 09:29:59.999,359248.511749,493.0,12889.78,187374.434919,0.0
26,2018-06-13 09:30:00,14.48,14.58,14.3059,14.57,28184.75,2018-06-13 10:29:59.999,407234.156191,613.0,10215.65,147512.205828,0.0
27,2018-06-13 10:30:00,14.58,14.69,14.4,14.4969,29834.68,2018-06-13 11:29:59.999,432858.552766,585.0,13730.85,199393.281624,0.0
28,2018-06-13 11:30:00,14.49,14.5152,14.44,14.4702,14012.28,2018-06-13 12:29:59.999,202899.791792,213.0,9283.07,134457.509705,0.0
29,2018-06-13 12:30:00,14.4736,14.5098,13.7886,13.8001,42282.49,2018-06-13 13:29:59.999,602008.234953,797.0,14893.78,214375.921907,0.0
30,2018-06-13 13:30:00,13.8001,13.9104,13.24,13.45,45309.13,2018-06-13 14:29:59.999,618006.643674,1139.0,13998.27,191441.759562,0.0
31,2018-06-13 14:30:00,13.4588,13.5396,13.0239,13.1127,51668.41,2018-06-13 15:29:59.999,686022.505111,1513.0,24257.76,322096.638973,0.0
32,2018-06-13 15:30:00,13.1294,13.5887,13.0903,13.2602,31285.97,2018-06-13 16:29:59.999,417612.578345,1126.0,16538.1,220522.187422,0.0
33,2018-06-13 16:30:00,13.2619,13.4801,13.2,13.4487,22726.98,2018-06-13 17:29:59.999,303660.6304,517.0,12032.36,160841.708255,0.0
34,2018-06-13 17:30:00,13.4601,13.605,13.3066,13.605,31198.33,2018-06-13 18:29:59.999,421658.392738,600.0,12700.96,171613.522067,0.0
35,2018-06-13 18:30:00,13.5799,13.75,13.3866,13.4,40708.66,2018-06-13 19:29:59.999,552718.550047,692.0,10101.83,137076.620592,0.0
