,OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore
0,2020-08-11 11:30:00,2.85,3.47,2.85,2.9515,20032.26,2020-08-11 12:29:59.999,61406.23471,267.0,8525.75,26428.370652,0.0
1,2020-08-11 12:30:00,2.9515,3.1355,2.88,2.9224,42069.37,2020-08-11 13:29:59.999,125192.890211,472.0,15341.03,45571.929835,0.0
2,2020-08-11 13:30:00,2.9626,3.0,2.9144,2.96,24280.76,2020-08-11 14:29:59.999,71470.192551,209.0,11965.57,35183.719706,0.0
3,2020-08-11 14:30:00,2.96,2.9736,2.85,2.8543,26371.23,2020-08-11 15:29:59.999,77260.051345,230.0,6206.3,18224.874289,0.0
4,2020-08-11 15:30:00,2.8566,2.9329,2.8433,2.8976,26685.94,2020-08-11 16:29:59.999,76775.919879,277.0,5229.47,15089.814623,0.0
5,2020-08-11 16:30:00,2.9167,3.1,2.9015,3.0497,12474.53,2020-08-11 17:29:59.999,37236.871671,158.0,9429.91,28098.898567,0.0
6,2020-08-11 17:30:00,3.0497,3.329,3.0488,3.1111,136779.72,2020-08-11 18:29:59.999,441183.820858,1178.0,62346.32,200695.62475,0.0
7,2020-08-11 18:30:00,3.111,3.2768,2.8625,3.2768,233029.25,2020-08-11 19:29:59.999,709615.613621,1918.0,116221.01,354145.820182,0.0
8,2020-08-11 19:30:00,3.2787,3.5208,3.0744,3.2499,362238.07,2020-08-11 20:29:59.999,1195213.682399,2917.0,188986.46,624385.306819,0.0
9,2020-08-11 20:30:00,3.2499,3.3926,3.15,3.19,170827.9,2020-08-11 21:29:59.999,554372.244902,1146.0,76233.43,246579.507037,0.0
10,2020-08-11 21:30:00,3.1751,3.3595,3.1143,3.2475,105510.39,2020-08-11 22:29:59.999,341862.18877,1063.0,60591.71,197424.474591,0.0
11,2020-08-11 22:30:00,3.2475,3.384,3.2475,3.2978,67008.38,2020-08-11 23:29:59.999,221838.755903,528.0,33598.28,110954.6301,0.0
12,2020-08-11 23:30:00,3.3,3.3047,3.21,3.2676,31896.32,2020-08-12 00:29:59.999,103714.316162,336.0,11458.62,37371.119124,0.0
13,2020-08-12 00:30:00,3.2676,3.2754,3.155,3.1886,49635.13,2020-08-12 01:29:59.999,159339.353613,397.0,21024.26,67446.55257,0.0
14,2020-08-12 01:30:00,3.1938,3.203,2.95,3.0774,121302.78,2020-08-12 02:29:59.999,372028.350975,1007.0,52572.61,162349.508254,0.0
15,2020-08-12 02:30:00,3.0775,3.2495,3.07,3.2184,44151.99,2020-08-12 03:29:59.999,138735.551065,396.0,17988.23,57573.54969,0.0
16,2020-08-12 03:30:00,3.2128,3.25,3.08,3.2061,34992.96,2020-08-12 04:29:59.999,111475.534793,543.0,19829.93,63544.30372,0.0
17,2020-08-12 04:30:00,3.2037,3.3191,3.2,3.2985,43097.8,2020-08-12 05:29:59.999,140427.364679,448.0,24221.9,79124.67661,0.0
18,2020-08-12 05:30:00,3.2985,3.2985,3.09,3.1127,64788.66,2020-08-12 06:29:59.999,205085.825096,596.0,24700.46,78428.01978,0.0
19,2020-08-12 06:30:00,3.1064,3.32,3.08,3.232,69220.85,2020-08-12 07:29:59.999,222727.351404,587.0,28460.34,91573.022424,0.0
20,2020-08-12 07:30:00,3.2311,3.2575,3.1317,3.1317,36985.7,2020-08-12 08:29:59.999,119136.071017,341.0,20037.13,64718.346923,0.0
21,2020-08-12 08:30:00,3.1317,3.3,3.1129,3.2802,55281.42,2020-08-12 09:29:59.999,176499.344491,572.0,28957.78,92915.54835,0.0
22,2020-08-12 09:30:00,3.2802,3.2953,3.15,3.2611,40644.95,2020-08-12 10:29:59.999,130698.128895,694.0,19681.72,63167.62879,0.0
23,2020-08-12 10:30:00,3.2478,3.2478,3.1769,3.2296,17503.99,2020-08-12 11:29:59.999,56078.731833,352.0,10425.47,33411.778687,0.0
24,2020-08-12 11:30:00,3.2192,3.2641,3.1323,3.2538,69963.6,2020-08-12 12:29:59.999,223580.394187,639.0,48285.47,154427.969208,0.0
25,2020-08-12 12:30:00,3.2538,3.3661,3.2121,3.3661,60332.39,2020-08-12 13:29:59.999,197856.676537,842.0,29054.79,95681.711962,0.0
26,2020-08-12 13:30:00,3.3577,3.52,3.35,3.4503,244976.89,2020-08-12 14:29:59.999,840219.452065,1985.0,147305.64,506849.00291,0.0
27,2020-08-12 14:30:00,3.4503,3.7,3.4001,3.6669,173413.69,2020-08-12 15:29:59.999,621565.624366,1812.0,76505.69,273331.312545,0.0
28,2020-08-12 15:30:00,3.668,3.9176,3.5015,3.9049,227903.53,2020-08-12 16:29:59.999,853408.819501,3014.0,129359.41,485300.18297,0.0
29,2020-08-12 16:30:00,3.9049,3.9289,3.6491,3.6842,148902.61,2020-08-12 17:29:59.999,560052.204968,1799.0,57898.1,217054.84917,0.0
30,2020-08-12 17:30:00,3.6733,3.7756,3.653,3.6755,73631.8,2020-08-12 18:29:59.999,272609.217953,812.0,31868.44,118018.387451,0.0
31,2020-08-12 18:30:00,3.676,3.8554,3.6434,3.745,78069.33,2020-08-12 19:29:59.999,293815.507199,1194.0,41280.9,155436.838564,0.0
32,2020-08-12 19:30:00,3.7573,3.9,3.746,3.81,73978.36,2020-08-12 20:29:59.999,281006.784562,922.0,55138.83,209375.360169,0.0
33,2020-08-12 20:30:00,3.8272,3.85,3.7,3.7678,41862.48,2020-08-12 21:29:59.999,156547.897908,737.0,17015.59,63730.201887,0.0
34,2020-08-12 21:30:00,3.7704,3.7889,3.65,3.7569,70134.33,2020-08-12 22:29:59.999,260635.076572,934.0,27573.61,102301.262784,0.0
35,2020-08-12 22:30:00,3.7453,3.7678,3.6505,3.7446,43982.51,2020-08-12 23:29:59.999,162769.994006,461.0,26801.23,99195.230108,0.0
36,2020-08-12 23:30:00,3.7195,3.8423,3.6762,3.7018,29376.77,2020-08-13 00:29:59.999,110618.556678,605.0,14424.49,54498.819717,0.0
37,2020-08-13 00:30:00,3.7098,3.7441,3.6,3.6788,30017.89,2020-08-13 01:29:59.999,110030.550134,591.0,9819.91,36009.979979,0.0
38,2020-08-13 01:30:00,3.6788,3.794,3.6652,3.7142,18641.09,2020-08-13 02:29:59.999,69558.121087,373.0,11868.25,44371.372621,0.0
39,2020-08-13 02:30:00,3.7142,3.74,3.7,3.7207,22553.22,2020-08-13 03:29:59.999,83926.432261,385.0,9088.87,33865.963515,0.0
40,2020-08-13 03:30:00,3.7208,3.8225,3.6729,3.693,26479.52,2020-08-13 04:29:59.999,99169.473079,543.0,12352.95,46431.027296,0.0
41,2020-08-13 04:30:00,3.6732,3.7559,3.6732,3.7558,18397.37,2020-08-13 05:29:59.999,68557.488839,328.0,11228.43,41850.451007,0.0
42,2020-08-13 05:30:00,3.75,3.8512,3.7428,3.7703,48211.24,2020-08-13 06:29:59.999,183364.564137,556.0,17357.27,66006.576058,0.0
43,2020-08-13 06:30:00,3.7703,3.8,3.6886,3.7601,39505.23,2020-08-13 07:29:59.999,147128.64564,536.0,13012.63,48487.040648,0.0
44,2020-08-13 07:30:00,3.7729,3.7771,3.5537,3.6457,36648.7,2020-08-13 08:29:59.999,134111.749566,720.0,13228.12,48467.399642,0.0
45,2020-08-13 08:30:00,3.6449,3.8128,3.6228,3.7593,61837.96,2020-08-13 09:29:59.999,230484.101828,778.0,15025.01,55862.708769,0.0
46,2020-08-13 09:30:00,3.7404,3.9364,3.6436,3.6822,122541.59,2020-08-13 10:29:59.999,468193.190623,1686.0,60008.1,230640.756448,0.0
47,2020-08-13 10:30:00,3.6865,3.85,3.6243,3.7458,49349.19,2020-08-13 11:29:59.999,184378.020632,1204.0,24889.28,93439.720416,0.0
48,2020-08-13 11:30:00,3.7547,3.8997,3.7249,3.8997,34680.5,2020-08-13 12:29:59.999,132690.12079,615.0,18487.87,71082.43956,0.0
49,2020-08-13 12:30:00,3.8914,4.1387,3.878,4.0785,128456.23,2020-08-13 13:29:59.999,516573.601758,1618.0,76223.58,305499.473887,0.0
50,2020-08-13 13:30:00,4.0946,4.1222,3.65,3.733,251307.47,2020-08-13 14:29:59.999,972053.091754,2586.0,107147.94,416857.893935,0.0
51,2020-08-13 14:30:00,3.73,3.95,3.5003,3.8387,155172.89,2020-08-13 15:29:59.999,575099.963135,1848.0,59977.19,223206.245711,0.0
52,2020-08-13 15:30:00,3.8417,3.95,3.798,3.8749,50459.32,2020-08-13 16:29:59.999,195361.499055,751.0,20991.07,81559.144897,0.0
53,2020-08-13 16:30:00,3.8751,3.9999,3.759,3.87,91154.29,2020-08-13 17:29:59.999,351810.717922,1155.0,31448.81,121387.453539,0.0
54,2020-08-13 17:30:00,3.87,3.9242,3.8103,3.897,89047.44,2020-08-13 18:29:59.999,344114.123951,1095.0,32816.45,126931.806993,0.0
55,2020-08-13 18:30:00,3.8979,3.9764,3.8705,3.9453,51652.58,2020-08-13 19:29:59.999,202835.560027,764.0,30129.47,118289.622181,0.0
56,2020-08-13 19:30:00,3.9734,4.0555,3.8888,3.9416,68663.22,2020-08-13 20:29:59.999,272817.027974,906.0,33314.39,132614.675163,0.0
57,2020-08-13 20:30:00,3.9292,3.96,3.8,3.8065,47636.3,2020-08-13 21:29:59.999,184976.806844,680.0,19255.26,74984.285332,0.0
58,2020-08-13 21:30:00,3.8065,3.9123,3.7698,3.9019,58736.84,2020-08-13 22:29:59.999,224912.532883,801.0,26748.1,102756.059433,0.0
59,2020-08-13 22:30:00,3.9016,3.9645,3.7909,3.8118,45608.65,2020-08-13 23:29:59.999,175621.713494,1007.0,18875.62,72795.83427,0.0
60,2020-08-13 23:30:00,3.8225,3.8699,3.79,3.83,23440.51,2020-08-14 00:29:59.999,89635.751602,395.0,8874.95,33974.755158,0.0
61,2020-08-14 00:30:00,3.8201,3.8618,3.8095,3.8566,16313.38,2020-08-14 01:29:59.999,62526.587986,174.0,9369.08,35985.418652,0.0
62,2020-08-14 01:30:00,3.8549,3.87,3.7,3.7,66540.69,2020-08-14 02:29:59.999,252394.126204,806.0,27276.35,103895.626512,0.0
63,2020-08-14 02:30:00,3.7251,3.747,3.6068,3.6356,61287.25,2020-08-14 03:29:59.999,225059.06998,866.0,20312.29,74722.782131,0.0
64,2020-08-14 03:30:00,3.6229,3.7696,3.5385,3.7503,56783.77,2020-08-14 04:29:59.999,205100.082086,848.0,18034.09,65332.402373,0.0
